#SubG n    Name                           MType      E(B-V)  (m-M)   E     e      D   E   e  D(MW) V(MW) D(M31) V(M31) D(LG) V(LG)  Vmag   E    e    Ell    VMag   E    e    R2   E   e      Mass    sigma*   E    e  vsini*   e     M.HI   sigHI   e    v.HI   e     Mdyn  [Fe/H]   e  
#                                                      mag    mag   mag   mag    kpc kpc kpc   kpc  km/s    kpc   km/s   kpc  km/s   mag  mag  mag          mag   mag  mag   pc   pc  pc   10+6Msun    km/s km/s km/s   km/s km/s  10+6Msun  km/s km/s   km/s km/s 10+6Msun  [Sun] [Sun]

Rest L,G  Leo-T                          dIrr/dSph   0.031  23.10  0.10  0.10   417  19  19   422   -58    991   -108   651   -98  15.1  0.5  0.5   0.00   -8.0  0.5  0.5   120   9   9     0.14000    7.5  1.6  1.6   99.9 99.9   2.8e-01   6.9  1.0  999.9 99.9     3.90  -1.99  0.05
Rest L    WLM-(Wolf-Lundmark-Melotte)    dIrr        0.038  24.85  0.08  0.08   933  34  34   932   -73    836     -6   794   -24  10.6  0.1  0.1   0.65  -14.2  0.1  0.1  2111 999 999    43.00000   17.5  2.0  2.0   20.8  2.0   6.1e+01   4.5  1.0   30.0  3.0   380.00  -1.27  0.04
Rest L    Leo-A                          dIrr        0.021  24.51  0.12  0.12   798  44  44   803   -19   1200    -46   941   -41  12.4  0.2  0.2   0.40  -12.1  0.2  0.2   499 999 999     6.00000    9.3  1.3  1.3   99.9 99.9   1.1e+01   9.3  1.4  999.9 99.9    25.00  -1.40  0.20
Rest L    Andromeda-XVIII                dSph        0.106  25.66  0.13  0.13  1355  81  81  1358  9999    591   9999   969  9999  16.0  9.9  9.9   0.00   -9.7 99.9 99.9   363  32  32     0.63000   99.9 99.9 99.9   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9   999.99  -1.80  0.10
Rest L    Aquarius                       dIrr/dSph   0.051  25.15  0.08  0.08  1072  39  39  1066   -27   1173     17  1053     9  14.5  0.1  0.1   0.50  -10.6  0.1  0.1   458  21  21     1.60000   99.9 99.9 99.9   99.9 99.9   4.1e+00   5.8  0.1  999.9 99.9   999.99  -1.30  0.20
Rest L    Tucana                         dSph        0.031  24.74  0.12  0.12   887  49  49   882    99   1355     62  1076    73  15.2  0.2  0.2   0.48   -9.5  0.2  0.2   284  54  54     0.56000   15.8  4.1  3.1   99.9 99.9   9.9e+99  99.9 99.9  999.9 99.9    41.00  -1.95  0.15
Rest L    Sagittarius-dIrr               dIrr        0.124  25.14  0.18  0.18  1067  88  88  1059     8   1356     20  1156    22  13.6  0.2  0.2   0.50  -11.5  0.3  0.3   282  28  28     3.50000   99.9 99.9 99.9   99.9 99.9   8.8e+00  10.0  1.0  999.9 99.9   999.99  -2.10  0.20
Rest L    UGC-4879                       dIrr/dSph   0.016  25.67  0.04  0.04  1361  25  25  1367   -27   1395     -4  1321   -12  13.2  0.2  0.2   0.44  -12.5  0.2  0.2   162  16  16     8.30000   99.9 99.9 99.9   99.9 99.9   9.5e-01  11.0  1.1  999.9 99.9   999.99  -1.50  0.20
Rest N    NGC-3109                       dIrr        0.067  25.57  0.08  0.08  1300  48  48  1301   193   1987     83  1633   110  10.7  0.1  0.1   0.82  -14.9  0.1  0.1  1626  71  71    76.00000   99.9 99.9 99.9   99.9 99.9   4.5e+02  10.0 99.9   72.4  0.5   999.99  -1.84  0.20
Rest N    Sextans-B                      dIrr        0.031  25.77  0.03  0.03  1426  20  20  1430   171   1943     97  1659   114  11.3  0.2  0.2   0.31  -14.5  0.2  0.2   440  42  42    52.00000   99.9 99.9 99.9   99.9 99.9   5.1e+01  18.0 99.9   71.0 99.9   999.99  99.99 99.99
